Nhom,Trang,EN Title,EN Meta,VI Title,VI Meta
HUB,Home,Eco-Friendly Cruise Ha Long & Lan Ha Bay | Green Ruby,"Eco-luxury cruise on Ha Long Bay's quieter Lan Ha Bay. Solar-assisted power, seawater cooling, 46 cabins. Pre-book 2026 with Green Ruby.",Du Thuyền Xanh Hạ Long & Lan Hạ | Green Ruby,"Du thuyền eco-luxury 46 phòng trên Vịnh Hạ Long & Lan Hạ yên tĩnh. Năng lượng mặt trời, làm mát nước biển. Đặt sớm hành trình 2026."
HUB,Itinerary,Ha Long Bay Cruise Itineraries 2D1N & 3D2N | Green Ruby,"Compare 2-day and 3-day eco cruise itineraries on Ha Long & Lan Ha Bay. Routes, cabins, onboard experiences. Pre-book with Green Ruby.",Du Thuyền Hạ Long & Lan Hạ 2 Đêm | Lịch Trình Green Ruby,"Lịch trình 2N1Đ và 3N2Đ trên Vịnh Hạ Long & Lan Hạ. So sánh hành trình, phòng, trải nghiệm. Đặt chỗ trước ra mắt."
HUB,Experiences,Ha Long & Lan Ha Bay Cruise Activities | Green Ruby,"Kayaking, sunrise on the bay, and exclusive onboard activities aboard Green Ruby. Explore the quieter side of Ha Long Bay.",Trải Nghiệm Trên Du Thuyền Green Ruby | Hạ Long & Lan Hạ,"Kayak, bình minh trên vịnh và hoạt động độc quyền trên tàu Green Ruby. Khám phá Lan Hạ vắng vẻ hơn Hạ Long."
HUB,Services,Luxury Cruise Weddings & Events Ha Long Bay | Green Ruby,"Wedding cruises, corporate charters, and private events on Ha Long Bay. Premium onboard service aboard Green Ruby.",Dịch Vụ Du Thuyền Cao Cấp & Sự Kiện Hạ Long | Green Ruby,"Tiệc cưới trên du thuyền, thuê trọn tàu, sự kiện riêng tư trên Vịnh Hạ Long cùng Green Ruby."
HUB,Gallery,Ha Long Bay Cruise Photo Gallery | Green Ruby,"See Green Ruby's eco-luxury cabins, dining, and Lan Ha Bay views. Real photos from aboard Vietnam's greenest Ha Long Bay cruise.",Thư Viện Ảnh Du Thuyền Hạ Long | Green Ruby,"Ảnh thật phòng nghỉ eco-luxury, nhà hàng và cảnh Vịnh Lan Hạ trên du thuyền Green Ruby tại Hạ Long."
HUB,Blog,Ha Long Bay Cruise Guides & Travel Tips | Green Ruby Blog,"Expert guides on eco cruising, Lan Ha vs Ha Long Bay, best time to visit, and sustainable travel in Vietnam.",Cẩm Nang Du Thuyền Hạ Long & Lan Hạ | Green Ruby,"Cẩm nang du thuyền xanh, so sánh Lan Hạ và Hạ Long, thời điểm đẹp nhất, du lịch bền vững tại Việt Nam."
HUB,About,About Green Ruby | Eco-Luxury Cruises on Ha Long Bay,"Vietnam's eco-luxury cruise line on Ha Long & Lan Ha Bay. Green Globe certification in progress — credentials you can trust, not claims we invented.",Giới Thiệu Green Ruby | Du Thuyền Eco-Luxury Hạ Long,"Hãng du thuyền eco-luxury trên Vịnh Hạ Long & Lan Hạ. Đang chứng nhận Green Globe — chứng nhận thật, không lời tự phong."
HUB,Contact,Contact Green Ruby Cruises | Ha Long Bay,"Get in touch with Green Ruby for bookings, private charters, and event enquiries on Ha Long & Lan Ha Bay.",Liên Hệ Green Ruby | Du Thuyền Hạ Long & Lan Hạ,"Liên hệ Green Ruby để đặt chỗ, thuê tàu riêng và tư vấn sự kiện trên Vịnh Hạ Long & Lan Hạ."
HUB,Booking,Book Your Ha Long Bay Eco Cruise | Green Ruby,"Reserve your cabin aboard Green Ruby. Early-booking offer on 2026 eco-luxury cruises on Ha Long & Lan Ha Bay. Limited cabins.",Đặt Du Thuyền Xanh Hạ Long | Green Ruby,"Đặt phòng trên du thuyền Green Ruby. Ưu đãi đặt sớm hành trình eco-luxury 2026 trên Vịnh Hạ Long & Lan Hạ. Số phòng giới hạn."
ITINERARY,Lan Ha Immersion (3D2N),3-Day Lan Ha Bay Eco Cruise Itinerary | Green Ruby,"Immerse 3 days, 2 nights on Lan Ha Bay, Ha Long Bay's quieter side, aboard Green Ruby. Cave exploration, kayaking, all meals. Pre-book 2026.",Du Thuyền Lan Hạ 3 Ngày 2 Đêm | Green Ruby,"Hành trình 3N2Đ đắm mình trên Vịnh Lan Hạ yên tĩnh thuộc Hạ Long cùng Green Ruby. Khám phá hang, kayak, trọn bữa ăn. Đặt sớm 2026."
